pretax_income,tax,after_tax_income
0.0,0.0,0.0
1000.0,80.0,920.0
2000.0,160.0,1840.0
3000.0,240.0,2760.0
4000.0,320.0,3680.0
5000.0,400.0,4600.0
6000.0,480.0,5520.0
7000.0,560.0,6440.0
8000.0,640.0,7360.0
9000.0,720.0,8280.0
10000.0,800.0,9200.0
11000.0,880.0,10120.0
12000.0,960.0,11040.0
13000.0,1040.0,11960.0
14000.0,1120.0,12880.0
15000.0,1200.0,13800.0
16000.0,1280.0,14720.0
17000.0,1360.0,15640.0
18000.0,1440.0,16560.0
19000.0,1520.0,17480.0
20000.0,1600.0,18400.0
21000.0,1680.0,19320.0
22000.0,1760.0,20240.0
23000.0,1840.0,21160.0
24000.0,1920.0,22080.0
25000.0,2000.0,23000.0
26000.0,2080.0,23920.0
27000.0,2160.0,24840.0
28000.0,2240.0,25760.0
29000.0,2320.0,26680.0
30000.0,2400.0,27600.0
31000.0,2480.0,28520.0
32000.0,2560.0,29440.0
33000.0,2640.0,30360.0
34000.0,2720.0,31280.0
35000.0,2800.0,32200.0
36000.0,2880.0,33120.0
37000.0,2960.0,34040.0
38000.0,3040.0,34960.0
39000.0,3120.0,35880.0
40000.0,3200.0,36800.0
41000.0,3280.0,37720.0
42000.0,3360.0,38640.0
43000.0,3440.0,39560.0
44000.0,3520.0,40480.0
45000.0,3600.0,41400.0
46000.0,3680.0,42320.0
47000.0,3760.0,43240.0
48000.0,3840.0,44160.0
49000.0,3920.0,45080.0
50000.0,4000.0,46000.0
51000.0,4080.0,46920.0
52000.0,4160.0,47840.0
53000.0,4240.0,48760.0
54000.0,4320.0,49680.0
55000.0,4400.0,50600.0
56000.0,4480.0,51520.0
57000.0,4710.0,52290.0
58000.0,5094.0,52906.0
59000.0,5478.0,53522.0
60000.0,5862.0,54138.0
61000.0,6246.0,54754.0
62000.0,6631.0,55369.0
63000.0,7015.0,55985.0
64000.0,7399.0,56601.0
65000.0,7783.0,57217.0
66000.0,8167.0,57833.0
67000.0,8551.0,58449.0
68000.0,8935.0,59065.0
69000.0,9319.0,59681.0
70000.0,9703.0,60297.0
71000.0,10087.0,60913.0
72000.0,10471.0,61529.0
73000.0,10855.0,62145.0
74000.0,11239.0,62761.0
75000.0,11623.0,63377.0
76000.0,12007.0,63993.0
77000.0,12391.0,64609.0
78000.0,12775.0,65225.0
79000.0,13159.0,65841.0
80000.0,13543.0,66457.0
81000.0,13927.0,67073.0
82000.0,14311.0,67689.0
83000.0,14695.0,68305.0
84000.0,15079.0,68921.0
85000.0,15463.0,69537.0
86000.0,15847.0,70153.0
87000.0,16231.0,70769.0
88000.0,16615.0,71385.0
89000.0,16999.0,72001.0
90000.0,17383.0,72617.0
91000.0,17767.0,73233.0
92000.0,18151.0,73849.0
93000.0,18535.0,74465.0
94000.0,18919.0,75081.0
95000.0,19303.0,75697.0
96000.0,19687.0,76313.0
97000.0,20071.0,76929.0
98000.0,20455.0,77545.0
99000.0,20840.0,78160.0
100000.0,21224.0,78776.0
101000.0,21608.0,79392.0
102000.0,21992.0,80008.0
103000.0,22376.0,80624.0
104000.0,22760.0,81240.0
105000.0,23144.0,81856.0
106000.0,23528.0,82472.0
107000.0,23912.0,83088.0
108000.0,24296.0,83704.0
109000.0,24680.0,84320.0
110000.0,25064.0,84936.0
111000.0,25448.0,85552.0
112000.0,25832.0,86168.0
113000.0,26216.0,86784.0
114000.0,26600.0,87400.0
115000.0,26984.0,88016.0
116000.0,27368.0,88632.0
117000.0,27752.0,89248.0
118000.0,28136.0,89864.0
119000.0,28520.0,90480.0
120000.0,28904.0,91096.0
121000.0,29288.0,91712.0
122000.0,29672.0,92328.0
123000.0,30056.0,92944.0
124000.0,30440.0,93560.0
125000.0,30824.0,94176.0
126000.0,31208.0,94792.0
127000.0,31592.0,95408.0
128000.0,31976.0,96024.0
129000.0,32360.0,96640.0
130000.0,32744.0,97256.0
131000.0,33128.0,97872.0
132000.0,33512.0,98488.0
133000.0,33896.0,99104.0
134000.0,34280.0,99720.0
135000.0,34665.0,100335.0
136000.0,35049.0,100951.0
137000.0,35433.0,101567.0
138000.0,35817.0,102183.0
139000.0,36201.0,102799.0
140000.0,36585.0,103415.0
141000.0,36969.0,104031.0
142000.0,37353.0,104647.0
143000.0,37737.0,105263.0
144000.0,38121.0,105879.0
145000.0,38505.0,106495.0
146000.0,38889.0,107111.0
147000.0,39273.0,107727.0
148000.0,39657.0,108343.0
149000.0,40041.0,108959.0
150000.0,40425.0,109575.0
151000.0,40809.0,110191.0
152000.0,41193.0,110807.0
153000.0,41577.0,111423.0
154000.0,41961.0,112039.0
155000.0,42345.0,112655.0
156000.0,42729.0,113271.0
157000.0,43113.0,113887.0
158000.0,43497.0,114503.0
159000.0,43881.0,115119.0
160000.0,44265.0,115735.0
161000.0,44649.0,116351.0
162000.0,45033.0,116967.0
163000.0,45417.0,117583.0
